('2014-09-09', 18)
('2014-09-11', 11)
('2014-09-10', 32)
('2014-09-12', 7)
('2014-09-12', 50)
('2014-09-15', 32)
('2014-09-14', 7)
('2014-09-13', 6)
('2014-09-12', 5)
('2014-09-15', 50)
('2014-09-15', 14)
('2014-09-17', 18)
('2014-09-16', 18)
('2014-09-17', 50)
('2014-09-17', 16)
('2014-09-18', 34)
('2014-09-20', 8)
('2014-09-21', 1)
('2014-09-22', 6)
('2014-09-19', 25)
('2014-09-18', 10)
('2014-09-22', 39)
('2014-09-23', 11)
('2014-09-23', 50)
('2014-09-23', 21)
('2014-09-24', 29)
('2014-09-24', 23)
('2014-09-25', 27)
('2014-09-25', 1)
('2014-09-26', 49)
('2014-09-26', 50)
('2014-09-26', 50)
('2014-09-26', 50)
('2014-09-26', 50)
('2014-09-26', 50)
('2014-09-26', 50)
('2014-09-26', 6)
('2014-09-27', 44)
('2014-09-28', 45)
('2014-09-27', 5)
('2014-09-28', 39)
('2014-09-29', 11)
('2014-09-29', 50)
('2014-09-29', 50)
('2014-09-29', 50)
('2014-09-29', 50)
('2014-09-29', 50)
('2014-09-29', 50)
('2014-09-29', 50)
('2014-09-29', 31)
('2014-09-30', 19)
('2014-09-30', 50)
('2014-09-30', 50)
('2014-09-30', 50)
('2014-09-30', 50)
('2014-09-30', 50)
('2014-09-30', 50)
('2014-10-01', 50)
('2014-10-01', 50)
('2014-10-01', 50)
('2014-10-01', 50)
('2014-10-01', 21)
('2014-10-02', 29)
('2014-10-02', 50)
('2014-10-02', 50)
('2014-10-02', 50)
('2014-10-02', 50)
('2014-10-02', 50)
('2014-10-02', 39)
('2014-10-03', 11)
('2014-10-03', 50)
('2014-10-03', 50)
('2014-10-03', 50)
('2014-10-03', 37)
('2014-10-04', 13)
('2014-10-04', 47)
('2014-10-05', 3)
('2014-10-05', 39)
('2014-10-06', 11)
('2014-10-06', 32)
('2014-10-07', 18)
('2014-10-07', 50)
('2014-10-08', 7)
('2014-10-07', 43)
('2014-10-08', 50)
('2014-10-08', 50)
('2014-10-08', 50)
('2014-10-08', 50)
('2014-10-08', 50)
('2014-10-08', 1)
('2014-10-09', 49)
('2014-10-09', 44)
('2014-10-10', 6)
('2014-10-10', 50)
('2014-10-10', 50)
('2014-10-10', 50)
('2014-10-12', 17)
('2014-10-11', 28)
('2014-10-10', 5)
('2014-10-13', 24)
('2014-10-12', 26)
('2014-10-13', 50)
('2014-10-14', 17)
('2014-10-13', 33)
('2014-10-14', 50)
('2014-10-14', 50)
('2014-10-14', 50)
('2014-10-15', 27)
('2014-10-14', 23)
('2014-10-15', 50)
('2014-10-15', 50)
('2014-10-16', 26)
('2014-10-15', 24)
('2014-10-16', 50)
('2014-10-16', 50)
('2014-10-17', 32)
('2014-10-16', 18)
('2014-10-17', 15)
('2014-10-20', 10)
('2014-10-19', 9)
('2014-10-18', 16)
('2014-10-22', 13)
('2014-10-20', 7)
